comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""Editor was very pleasant and engaged with the piece, payment took a bit of chasing.""",Contract: ,$0.25,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,Broadly,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2018
,"Contract: Verbal or ""handshake"" agreement",$0.30,False,Medium reporting,Paid in 3 months ,svg-2,Platform: digital,Broadly,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,,1000-word,2017
"""There were many rounds of edits. And the publication commissioned an excellent illustration to go with the article.""",Contract: No,$0.20,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Broadly,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1500,2017
"""Editor introduced multiple typos into text as well as title, then left them unattended for several days. Delays in email communication. Edits changed meaning and intention of original text. Payment went overdue.""",Contract: No,$0.21,False,Heavy/Investigative reporting,Paid in 3 months ,svg-4,Platform: digital,Broadly,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1200,2016
,Contract: No,$0.15,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Broadly,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1395,2016
"""I've been waiting for over 9 months for payment for an article that got me death threats.""",Contract: No,$0.20,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Broadly,Assignment (editor came to you),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2016
,Contract: ,$0.21,False,,Paid in 3 months ,svg-3,Platform: digital,Broadly,,Rights: Other / I don't know,,1200-word,2016
"""The story included a short text introduction, but was mostly a photo gallery""",Contract: Yes,$1.00,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Broadly,Cold pitch (no pre-existing relationship),Rights: Secondary Rights/Reprint,news story,250,2016
"""invoiced on September 20. ""","Contract: Verbal or ""handshake"" agreement",$0.31,False,Medium reporting,,ng-hide,Platform: digital,Broadly,Ongoing/pre-existing relationship with editor or publication,Rights: ,"opinion, editorial, column or essay",~1500,2015
"""The editor was great and paid me more than the previously-agreed rate because we ended up with slightly more words than we initially agreed.""",Contract: No,$0.20,False,Medium reporting,,ng-hide,Platform: digital,Broadly,Solicited pitch (editor asked you to pitch),Rights: ,news story,~1500,2015
