comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$1.00,False,,Paid in 6 weeks ,svg-2,Platform: print,Pacific Standard,,Rights: All rights,,1200-word,2018
,Contract: ,$1.00,False,,Paid in 3 months ,svg-3,Platform: print,Pacific Standard,,Rights: All rights,,1200-word,2018
,Contract: Yes,$0.17,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Pacific Standard,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,2000,2017
,Contract: ,$0.25,False,,Paid in 1 month ,svg-1,Platform: digital,Pacific Standard,,Rights: First Serial Rights,,1000-word,2017
"""Received payment before I even filed a draft! Which apparently wasn't a mistake. Thorough and thoughtful edits.""",Contract: Yes,$0.20,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Pacific Standard,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2000,2016
,Contract: Yes,$0.16,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Pacific Standard,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,2500,2016
,Contract: Yes,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Pacific Standard,Other,Rights: Other / I don't know,feature,1600,2016
,Contract: Yes,$0.12,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Pacific Standard,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,feature,2500,2016
,Contract: Yes,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Pacific Standard,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,news story,1000,2016
,Contract: Yes,$2.00,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Pacific Standard,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,2500,2016
"""This was a piece I'd already written for their website, for $200, which they re-pubbed in the print edition. Great process, a bit slow on sending out the check, but they've always been prompt before so I believe it was just a fluke.""","Contract: Verbal or ""handshake"" agreement",$0.75,False,Little to no reporting,Paid in 6 weeks ,svg-3,Platform: print,Pacific Standard,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",800,2016
,Contract: Yes,$0.15,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Pacific Standard,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,2000,2016
,Contract: Yes,$0.17,False,Medium reporting,,ng-hide,Platform: digital,Pacific Standard,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,~1500,2015
,Contract: Yes,$0.17,False,Little to no reporting,,ng-hide,Platform: digital,Pacific Standard,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
"""~5 rounds of revision; piece ran at roughly half the length we originally discussed.""",Contract: Yes,$0.33,False,Little to no reporting,,ng-hide,Platform: digital,Pacific Standard,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~750,2014
,Contract: Yes,$0.33,False,Medium reporting,,ng-hide,Platform: digital,Pacific Standard,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~750,2013
,Contract: Yes,$1.33,False,Medium reporting,,ng-hide,Platform: digital,Pacific Standard,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,fob,~750,2013
"""Contract rate was based on $1 word and 2500 word assignment. """,Contract: Yes,$0.83,False,Heavy/Investigative reporting,,ng-hide,Platform: print,Pacific Standard,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,~3000,2013
