comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.08,False,Medium reporting,Longer than 3 months ,svg-1,Platform: digital,Salon,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,feature,1500,2018
"""Payment was supposed to come in 60 days after publication. It's two months late and I've just sent my second reminder.""",Contract: Yes,$0.08,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Salon,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",900,2018
,"Contract: Verbal or ""handshake"" agreement",$0.25,False,Medium reporting,Longer than 3 months ,svg-3,Platform: digital,Salon,Assignment (editor came to you),Rights: Other / I don't know,news story,800,2018
"""It has become harder and harder to get paid here...avoid.""",Contract: Yes,$0.15,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Salon,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2018
,Contract: ,$0.15,False,,Longer than 3 months ,svg-4,Platform: digital,Salon,,Rights: First Serial Rights,,1000-word,2018
,Contract: Yes,$0.10,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Salon,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1500,2017
,Contract: ,$0.13,False,,Longer than 3 months ,svg-3,Platform: digital,Salon,,Rights: All rights,,1200-word,2017
"""Does Salon ever pay more than $150 for a piece? They can be slow to pay, but they tend to respond promptly to reminders.""",Contract: Yes,$0.05,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Salon,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,2900,2016
,Contract: Yes,$0.13,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Salon,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1200,2016
,"Contract: Verbal or ""handshake"" agreement",$0.10,False,Little to no reporting,Paid in 2 months ,svg-3,Platform: digital,Salon,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2016
,Contract: No,$0.10,False,Little to no reporting,Paid in 2 months ,svg-2,Platform: digital,Salon,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1300,2016
"""They're always slow to pay, and sometimes have to be reminded.""",Contract: Yes,$0.05,False,Little to no reporting,,ng-hide,Platform: digital,Salon,Ongoing/pre-existing relationship with editor or publication,Rights: ,profile or interview,~3000,2016
,Contract: Yes,$0.15,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Salon,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1000,2016
"""I haven't been paid yet, but the contract is for one post a day and payment at the end of a month. I just started a few days ago.""",Contract: Yes,$0.13,False,Little to no reporting,,ng-hide,Platform: digital,Salon,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,~375,2015
"""The remarkable thing for me is that I have published for SALON a number of times. In the past, writing for this same section of the mag, I was paid $200. [My new editor] sent me a contract for $125. When I mentioned how much I had been getting paid by her predecessor, she raised my rate to $150, but said that her budget was smaller than her predecessor's. """,Contract: Yes,$0.10,False,Little to no reporting,,ng-hide,Platform: digital,Salon,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~1500,2015
"""Good editor. """,Contract: No,$0.10,False,Cold pitch (no pre-existing relationship),,ng-hide,Platform: digital,Salon,,Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2015
"""My first published piece so I was happy to get anything.  No original reporting, but plenty of research.  Around 1500 words.""",Contract: Yes,$0.08,False,Medium reporting,,ng-hide,Platform: digital,Salon,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~1500,2015
,Contract: Yes,$0.10,False,Medium reporting,,ng-hide,Platform: digital,Salon,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~1500,2014
,Contract: Yes,$0.10,False,Little to no reporting,,ng-hide,Platform: digital,Salon,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
,Contract: Yes,$0.10,False,Little to no reporting,,ng-hide,Platform: digital,Salon,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,news story,~1500,2014
