comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.25,False,Little to no reporting,Paid in 15 days ,svg-2,Platform: digital,Into,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2019
,Contract: No,$0.17,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Into,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,"opinion, editorial, column or essay",1500,2018
,Contract: Yes,$0.26,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Into,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,950,2018
"""INTO uses Bill.com, which took me a while to get the hang of. Once I did, everything was fine.""",Contract: Yes,$0.44,False,Medium reporting,Paid in 6 weeks ,svg-3,Platform: digital,Into,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,800,2018
"""Fantastic experience. Quick turn around for a time-sensitive piece, easygoing and friendly editor and payment was within the time range stated in the contract. Highly recommended.""",Contract: Yes,$0.28,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Into,Referral (you had a connection who connected you to the editor),Rights: All rights,"criticism, review, or arts/entertainment coverage",900,2018
,Contract: Yes,$0.18,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Into,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1400,2018
,Contract: Yes,$0.29,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Into,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,profile or interview,1050,2018
,Contract: Yes,$0.19,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,Into,Submission/spec (piece was written prior and then submitted for publication),Rights: Other / I don't know,profile or interview,1300,2018
,Contract: Yes,$0.30,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Into,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1000,2018
,Contract: Yes,$0.24,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Into,Referral (you had a connection who connected you to the editor),Rights: All rights,"criticism, review, or arts/entertainment coverage",850,2018
