comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.33,False,Little to no reporting,Paid in 2 months ,svg-4,Platform: digital,Refinery29,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,1200,2018
"""recurring column--flat rate for variable word count. (Ranged from 2500-5000 words.)""",Contract: Yes,$0.10,False,Little to no reporting,Paid in 2 months ,svg-4,Platform: digital,Refinery29,Assignment (editor came to you),Rights: Other / I don't know,"opinion, editorial, column or essay",2500,2018
"""Branded content, ~1500 words with reporting (3 sources), $500 flat. Reasonable edits, responsive editors.""","Contract: Verbal or ""handshake"" agreement",$0.33,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,Refinery29,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1500,2018
"""Assignment from ongoing relationship with editor. ~1,500 word fashion feature with market, requiring research (but no reporting).""","Contract: Verbal or ""handshake"" agreement",$0.17,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,Refinery29,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1500,2018
,Contract: No,$0.15,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Refinery29,,Rights: Other / I don't know,"opinion, editorial, column or essay",650,2018
"""Piece was pulled; editor washed her hands off me. Kill fee hasn't been issued still, six months later.""",Contract: Yes,$0.07,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Refinery29,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1000,2017
"""Hardest I've ever worked to get paid and I'm still waiting.""",Contract: Yes,$0.43,False,,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Refinery29,,Rights: All rights,feature,700,2016
,Contract: Yes,$0.67,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Refinery29,Solicited pitch (editor asked you to pitch),Rights: Secondary Rights/Reprint,"opinion, editorial, column or essay",~1500,2015
"""started at $50/post regardless of length, then after posts performed well was bumped up to $100 per post""",Contract: No,$0.07,False,Medium reporting,,ng-hide,Platform: digital,Refinery29,Ongoing/pre-existing relationship with editor or publication,Rights: ,"opinion, editorial, column or essay",~1500,2015
"""I've written a few pieces for Refinery29.com and the rates have all varied depending on the content:

Medium reported international piece: $400
short breaking news reported piece: $200 
personal essay with no reporting: $250 """,Contract: No,$0.53,False,Medium reporting,,ng-hide,Platform: digital,Refinery29,Cold pitch (no pre-existing relationship),Rights: All rights,feature,~750,2015
"""Originally wrote the piece for a smaller niche site on an assignment granted after a cold pitch; it was ultimately rejected there and shopped to R29 instead, fully written. It ran with revisions within the week, but the final version wasn't the one I'd agreed upon with the editor; more changes were made without my knowledge before it went live, and that version contains errors.""",Contract: No,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Refinery29,Submission/spec (piece was written prior and then submitted for publication),Rights: All rights,"opinion, editorial, column or essay",~750,2014
"""I haven't filed my paperwork yet because I am the worst kind of freelancer""",Contract: Yes,$0.33,False,Little to no reporting,,ng-hide,Platform: digital,Refinery29,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,"opinion, editorial, column or essay",~1500,2014
,Contract: ,$30,True,,,ng-hide,,Refinery29,,Rights: ,,,2014
"""Editors were great, easy to work with and flexible about how the piece was written, but eventually stopped responding to emails/calls when I followed up about payment. Getting in touch with them after the piece was published was more difficult than the assignment. ""","Contract: Verbal or ""handshake"" agreement",$0.53,False,Little to no reporting,,ng-hide,Platform: digital,Refinery29,Solicited pitch (editor asked you to pitch),Rights: All rights,fob,~375,2014
"""Solicited by an editor I formerly worked with at Nerve. She suggested topic.""",Contract: Yes,$0.05,False,Little to no reporting,,ng-hide,Platform: digital,Refinery29,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2013
"""""Still not paid""""",Contract: ,$0.10,False,,,ng-hide,,Refinery29,,Rights: ,"criticism, review, or arts/entertainment converage",300,2013
"""Slow to pay""",Contract: ,$0.15,False,,,ng-hide,Platform: digital,Refinery29,,Rights: ,blog post,~230,2013
"""slow to pay""",Contract: ,$150,True,,,ng-hide,,Refinery29,,Rights: ,,,2013
