comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,"Contract: Verbal or ""handshake"" agreement",$0.29,False,Medium reporting,Paid in 3 months ,svg-3,Platform: digital,Rolling Stone,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,1200,2018
,Contract: Yes,$0.25,False,Medium reporting,Paid in 2 months ,svg-4,Platform: digital,Rolling Stone,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1200,2018
"""Still waiting to be paid, months and months after story went up""",Contract: Yes,$0.25,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Rolling Stone,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,1400,2018
,Contract: ,$0.80,False,,Paid in 1 month ,svg-3,Platform: digital,Rolling Stone,,Rights: All rights,,5000-word,2017
,Contract: No,$0.15,False,Little to no reporting,Paid in 2 months ,svg-2,Platform: digital,Rolling Stone,,Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2016
"""For some reason they can't do direct deposit.""","Contract: Verbal or ""handshake"" agreement",$0.16,False,Medium reporting,Paid in 2 months ,svg-4,Platform: digital,Rolling Stone,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1600,2016
"""Assumed articles would pay much higher so (foolishly) didn't bother to ask. After contributing a few times it didn't seem worth continuing to write for the outlet, to be totally honest.""",Contract: Yes,$0.13,False,Heavy/Investigative reporting,Paid in 2 months ,svg-3,Platform: digital,Rolling Stone,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,profile or interview,800,2016
,"Contract: Verbal or ""handshake"" agreement",$0.18,False,Little to no reporting,Paid in 2 months ,svg-1,Platform: digital,Rolling Stone,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",850,2016
"""Offered me $100 for an upcoming slideshow. Am super annoyed that these rates are lower than those listed on the site, especially as I was an intern for them for six months. """,Contract: No,$0.05,False,Medium reporting,,ng-hide,Platform: digital,Rolling Stone,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,~1500,2014
,Contract: Yes,$1.33,False,Little to no reporting,,ng-hide,Platform: print,Rolling Stone,Assignment (editor came to you),Rights: ,fob,~750,2014
,Contract: No,$0.33,False,Medium reporting,,ng-hide,Platform: digital,Rolling Stone,Ongoing/pre-existing relationship with editor or publication,Rights: ,news story,~750,2014
,Contract: ,$0.30,False,,,ng-hide,Platform: digital,Rolling Stone,,Rights: ,news story,500,2013
,Contract: ,,,,,ng-hide,Platform: print,Rolling Stone,,Rights: ,,,2012
,Contract: ,$150,True,,,ng-hide,Platform: digital,Rolling Stone,,Rights: ,, profile or interview,2012
