comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.25,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Buzzfeed,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,,400-word,2017
,Contract: Yes,$0.19,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,Buzzfeed,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1800,2017
,Contract: Yes,$0.10,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,Buzzfeed,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,6000,2017
,Contract: Yes,$0.50,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,Buzzfeed,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,6000,2016
"""I honestly can't remember the exact details, but I believe I retained them after the initial publication.""","Contract: Verbal or ""handshake"" agreement",$0.53,False,Medium reporting,,ng-hide,Platform: digital,Buzzfeed,Ongoing/pre-existing relationship with editor or publication,Rights: ,news story,~750,2016
,Contract: Yes,$0.20,False,Little to no reporting,,ng-hide,Platform: digital,Buzzfeed,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2015
"""Site offered $400 for a 2,000 or more word newsfeature from an an ongoing news story. Contract demanded all intergalactic rights to the work, as well as ownership of the material forever. I declined and went with another outlet. """,Contract: Yes,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Buzzfeed,Cold pitch (no pre-existing relationship),Rights: All rights,feature,~3000,2015
,Contract: Yes,$0.13,False,Little to no reporting,,ng-hide,Platform: digital,Buzzfeed,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,~1500,2014
,"Contract: Verbal or ""handshake"" agreement",$0.27,False,Little to no reporting,,ng-hide,Platform: digital,Buzzfeed,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment converage",~750,2013
,Contract: ,$0.13,False,,,ng-hide,,Buzzfeed,,Rights: ,"opinion, editorial, column or essay",~750,2013
