comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.03,False,Little to no reporting,Paid in 6 weeks ,svg-1,Platform: digital,The Billfold,Other,Rights: First Serial Rights,feature,1500,2018
,Contract: Yes,$0.05,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,The Billfold,,Rights: First Serial Rights,"opinion, editorial, column or essay",800,2018
,Contract: No,$0.04,False,Little to no reporting,Paid in 2 months ,svg-1,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
,Contract: ,$0.05,False,,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,The Billfold,,Rights: Other / I don't know,,800-word,2017
"""The Billfold/The Awl runs a batch of payments at the end of the month following a piece's publication--so I expect to receive payment about 2 months after a piece is published. It has been a little over 2 months, though, and I still haven't gotten it.""",Contract: No,$0.03,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1200,2017
,Contract: No,$0.03,False,Little to no reporting,Paid in 6 weeks ,svg-1,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1200,2017
,Contract: No,$0.10,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,400,2017
,Contract: No,$0.03,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1600,2017
"""Publication only pays $40 an article! Did not write as, once you divide it by your time, that's below minimum wage in the state where I live.""",Contract: No,$0.05,False,Medium reporting,N/A ,svg-1,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,800,2017
,Contract: No,$0.04,False,Little to no reporting,Paid in 2 months ,svg-1,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
,Contract: ,$0.05,False,,Paid in 3 months ,svg-1,Platform: digital,The Billfold,,Rights: Other / I don't know,"opinion, editorial, column or essay",865,2017
"""They pay a flat $40 rate per piece. Originally I was told I would be mailed a check but they recently switched to Paypal.""",Contract: No,$0.02,False,Little to no reporting,Paid in 2 months ,svg-2,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1759,2017
,Contract: No,$0.04,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,The Billfold,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
,Contract: No,$0.03,False,Little to no reporting,Longer than 3 months ,svg-2,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,,1000-word,2016
,Contract: No,$0.04,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,The Billfold,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2016
,Contract: No,$0.02,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1800,2016
,Contract: No,$0.02,False,Little to no reporting,Paid in 3 months ,svg-2,Platform: digital,The Billfold,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1300,2016
