comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.40,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1000,2018
,Contract: Yes,$0.37,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,750,2018
"""Paid for feature writing plus original photos. One of my favorite publications to write for, ever. Every time I work for AO, I think what a career highlight it is, and I have been at this for over a decade. Really trust the editors' judgment, appreciate the respectful professionalism, and always glad to take them my best ideas. Very recommendable.""","Contract: Verbal or ""handshake"" agreement",$0.50,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Atlas Obscura,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1000,2018
"""Careful, thoughtful edits and absurdly quick payment. Highly recommended!""",Contract: Yes,$0.33,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2018
,Contract: Yes,$0.53,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,750,2018
,Contract: Yes,$0.13,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: print,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1500,2017
,Contract: Yes,$0.40,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,2500,2017
,Contract: Yes,$0.33,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1500,2017
,Contract: No,$0.21,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2017
,Contract: Yes,$0.26,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: All rights,fob,780,2017
,Contract: Yes,$0.10,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,3100,2017
,Contract: Yes,$0.35,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1150,2017
"""Professional, friendly editors and incredibly prompt payment. So impressed and grateful for the care given to my story, and the respect I was given as a writer.""",Contract: Yes,$0.33,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2017
,Contract: No,$0.21,False,Little to no reporting,Paid in 15 days ,svg-2,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1200,2016
,Contract: No,$0.40,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Atlas Obscura,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,1000,2016
,Contract: Yes,$0.17,False,Little to no reporting,Paid in 15 days ,svg-3,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1500,2016
,Contract: Yes,$0.25,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,600,2016
,Contract: Yes,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,800,2016
,Contract: Yes,$0.20,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: All rights,feature,1000,2016
"""Thoughtful edits, quick payment""",Contract: Yes,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Atlas Obscura,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1000,2016
"""Very efficient; a pleasure to work with. """,Contract: Yes,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Atlas Obscura,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",~1500,2015
