comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.04,False,Medium reporting,N/A ,svg-3,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",2700,2019
,Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Los Angeles Review Of Books,Assignment (editor came to you),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1400,2018
,Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Los Angeles Review Of Books,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1100,2018
,Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Los Angeles Review Of Books,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,1500,2018
,Contract: Yes,$0.04,False,Little to no reporting,Paid in 3 months ,svg-2,Platform: digital,Los Angeles Review Of Books,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,profile or interview,2500,2018
,Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Los Angeles Review Of Books,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,other,850,2018
,Contract: Yes,$0.07,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Los Angeles Review Of Books,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1500,2018
,Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Los Angeles Review Of Books,Referral (you had a connection who connected you to the editor),Rights: All rights,"criticism, review, or arts/entertainment coverage",3000,2017
,Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: print,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2017
"""They pay on a bi-monthly schedule.""",Contract: No,$0.04,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,Los Angeles Review Of Books,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",2500,2017
