comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,"Contract: Verbal or ""handshake"" agreement",$0.31,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Slate,Assignment (editor came to you),Rights: Other / I don't know,,1300-word,2018
"""This was for the science section. Slate is a great publication. Science editor is great too. But pay rate is too low so just not worth the hassle needed to write a Slate-style piece.""",Contract: No,$0.29,False,Medium reporting,Paid in 3 months ,svg-3,Platform: digital,Slate,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1400,2018
,Contract: Yes,$0.21,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Slate,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1400,2018
,Contract: No,$0.36,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Slate,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1100,2018
,Contract: ,$0.25,False,,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Slate,,Rights: Other / I don't know,,1200-word,2018
,Contract: Yes,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Slate,Assignment (editor came to you),Rights: First Serial Rights,blog post,800,2017
"""Payment came lightening fast--while the editor was still sending revisions on the piece! Revisions were a headache, though. She entered incorrect information which I then had to remove, and this was an op-ed that she shifted through three different drafts into a reported piece (which I would have charged more for).""",Contract: Yes,$0.41,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Slate,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",973,2017
,Contract: Yes,$0.28,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Slate,Referral (you had a connection who connected you to the editor),Rights: All rights,fob,900,2017
,Contract: No,$0.08,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Slate,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1200,2017
,Contract: ,$0.21,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Slate,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1200,2016
"""The $100 was an offer. I didn't accept it.""",Contract: No,$0.03,False,Heavy/Investigative reporting,N/A ,svg-1,Platform: digital,Slate,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,3000,2016
,Contract: Yes,$0.29,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Slate,Assignment (editor came to you),Rights: First Serial Rights,news story,700,2016
"""It was an interview, written up as a Q&A.""","Contract: Verbal or ""handshake"" agreement",$0.17,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Slate,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,profile or interview,1500,2016
,Contract: No,$0.68,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Slate,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,220,2016
"""Never discussed money, was given my going rate for far smaller pieces.  Heavy original reporting and investigation""",Contract: No,$0.04,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Slate,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,fob,~5000,2014
"""Payment was late, apparently because they had just switched to a new system.""",Contract: Yes,$0.17,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Slate,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,blog post,~1500,2014
,Contract: No,$0.47,False,Little to no reporting,,ng-hide,Platform: digital,Slate,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2014
,Contract: Yes,$0.20,False,Medium reporting,,ng-hide,Platform: digital,Slate,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,"criticism, review, or arts/entertainment converage",~1500,2013
,Contract: ,$0.17,False,,,ng-hide,Platform: digital,Slate,,Rights: ,"opinion, editorial, column or essay",1200,2013
"""Reported by an intern""",Contract: ,,,,,ng-hide,Platform: digital,Slate,,Rights: ,," opinion, editorial, column or essay",2013
"""Payment 6 months late.""",Contract: ,$250,True,,,ng-hide,,Slate,,Rights: ,,,2013
,Contract: ,$300,True,,,ng-hide,,Slate,,Rights: ,,,2013
"""$500 “seems to be top amount” for Culturebox type features""",Contract: ,$500,True,,,ng-hide,,Slate,,Rights: ,, feature,2013
,Contract: ,$0.21,False,,,ng-hide,,Slate,,Rights: ,feature,1200,2013
"""“Asked for more after very popular post. Instead reduced to $100 in Dec 2012.” """,Contract: ,$150,True,,,ng-hide,Platform: digital,Slate,,Rights: ,, blog post,2013
,Contract: ,$0.12,False,,,ng-hide,,Slate,,Rights: ,feature,3000,2013
,Contract: ,$0.27,False,,,ng-hide,Platform: digital,Slate,,Rights: ,"opinion, editorial, column or essay",~1500,2012
,Contract: ,$0.27,False,Cold pitch (no pre-existing relationship),,ng-hide,,Slate,,Rights: ,"opinion, editorial, column or essay",1500,2012
,Contract: ,$0.24,False,,,ng-hide,,Slate,,Rights: ,feature,~1750,2012
