comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,"Contract: Verbal or ""handshake"" agreement",$0.44,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Extra Crispy,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,feature,900,2018
,Contract: No,$0.50,False,Little to no reporting,Longer than 3 months ,svg-4,Platform: digital,Extra Crispy,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,500,2017
,Contract: Yes,$0.50,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Extra Crispy,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,800,2017
,Contract: Yes,$0.50,False,Little to no reporting,Longer than 3 months ,svg-4,Platform: digital,Extra Crispy,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",800,2017
,Contract: Yes,$0.40,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Extra Crispy,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
,"Contract: Verbal or ""handshake"" agreement",$0.50,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Extra Crispy,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,800,2017
,Contract: Yes,$0.40,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Extra Crispy,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2016
,Contract: Yes,$0.50,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Extra Crispy,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,800,2016
,Contract: Yes,$0.50,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Extra Crispy,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,feature,1500,2016
,Contract: ,$0.38,False,,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Extra Crispy,,Rights: Other / I don't know,,800-word,2016
