comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.65,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,The New Yorker,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1000,2019
,Contract: Yes,$0.27,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The New Yorker,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,other,1200,2017
,Contract: Yes,$0.22,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The New Yorker,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,blog post,1500,2017
,Contract: No,$0.20,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,The New Yorker,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,blog post,1500,2016
,Contract: Yes,$0.17,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,The New Yorker,,Rights: All rights,,1800-word,2016
,Contract: ,$0.20,False,,Paid in 1 month ,svg-2,Platform: digital,The New Yorker,,Rights: All rights,,1500-word,2016
,Contract: Yes,$0.17,False,,,ng-hide,Platform: digital,The New Yorker,,Rights: ,"opinion, editorial, column or essay",~1500,2013
"""for online only/blog, regardless of word count""",Contract: ,$250,True,,,ng-hide,,The New Yorker,,Rights: ,, blog post,2012
,Contract: ,$250,True,,,ng-hide,,The New Yorker,,Rights: ,, blog post,2012
,Contract: ,$250,True,,,ng-hide,,The New Yorker,,Rights: ,, feature,2012
,Contract: ,,,,,ng-hide,,The New Yorker,,Rights: ,, news story,2012
