comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.13,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Fix,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1000,2018
,Contract: Yes,$0.13,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Fix,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2018
,Contract: Yes,$0.11,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,The Fix,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1150,2018
,Contract: ,$0.20,False,,Paid in 15 days ,svg-1,Platform: digital,The Fix,,Rights: First Serial Rights,,1500-word,2017
,Contract: Yes,$0.11,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,The Fix,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1100,2017
,Contract: Yes,$0.14,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: print,The Fix,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",900,2017
,Contract: ,$0.10,False,,Paid in 1 month ,svg-2,Platform: print,The Fix,,Rights: First Serial Rights,,1000-word,2017
"""I was paid before the piece was published, which almost never happens as a freelancer. I would be happy to write for them again.""",Contract: Yes,$0.17,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Fix,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1200,2017
,Contract: ,$0.10,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,The Fix,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1200,2017
"""Literally almost no edits.""",Contract: No,$0.20,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Fix,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,1000,2017
"""Actually received payment upon receipt of story,  not publication.""",Contract: Yes,$0.17,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Fix,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1500,2016
"""Took some nudging to get paid, but they came through. """,Contract: Yes,$0.20,False,Little to no reporting,,ng-hide,Platform: digital,The Fix,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~1500,2015
