"publication","rank","totalPaid","wordRate","daysToBePaid","paymentDifficulty","rank_totalPaid","rank_wordRate","rank_daysToBePaid","rank_paymentDifficulty"
"The Economist","1","498.75","0.8600000000000001","22.5","1","9","1","12","20.5"
"Columbia Journalism Review","2","645","0.75","30","1","3","3.5","28.5","20.5"
"The Walrus","3","700","0.77","15","2","2","2","5.5","56.5"
"Medium","4","850","0.33999999999999997","30","1","1","18","28.5","20.5"
"Wired","5","630","0.54","30","1","4","6","28.5","20.5"
"New York Magazine","6","627","0.75","51","1.5","5","3.5","60","44"
"Undark","7","504","0.53","30","1","7","7","28.5","20.5"
"The New York Times","8","500","0.605","51","1","8","5","60","20.5"
"Village Voice","9","400","0.5","30","1","19","9.5","28.5","20.5"
"Racked","10","478","0.38","30","1","11","15","28.5","20.5"
"Crixeo","11","420","0.35","30","1","14.5","17","28.5","20.5"
"Extra Crispy","12.5","400","0.5","30","2","19","9.5","28.5","56.5"
"The Guardian","12.5","400","0.5","30","2","19","9.5","28.5","56.5"
"The Daily Beast","14","350","0.325","30","1","25","22","28.5","20.5"
"Atlas Obscura","15","277.5","0.26","15","1","32","27","5.5","20.5"
"Vice Sports","16","455.5","0.20500000000000002","30","1","12","40","28.5","20.5"
"Pacific Standard","17","370","0.25","30","1","22","30.5","28.5","20.5"
"Playboy","18","423.5","0.3","30","1.5","13","23","28.5","44"
"Tablet Magazine","19","402.5","0.27","37.5","1","16","25","46","20.5"
"Al-jazeera English","20","495","0.42","42","2","10","13","52","56.5"
"Smithsonian Magazine","21","400.5","0.33","36","1.5","17","20","44.5","44"
"The Nation","22","352","0.15","22.5","1","24","50.5","12","20.5"
"Next City","23","200","0.235","15","1","46","36","5.5","20.5"
"Citylab","24","304","0.33","42","1","28","20","52","20.5"
"Slate","25","274.5","0.245","30","1","34","33","28.5","20.5"
"Buzzfeed","26","321","0.195","30","1","26","45","28.5","20.5"
"The New Yorker","27","300","0.2","30","1","29.5","42.5","28.5","20.5"
"Washington Post","28","250","0.25","30","1","39.5","30.5","28.5","20.5"
"Artforum","29","123.67","0.36","30","1","59","16","28.5","20.5"
"Complex","30","247.5","0.22","30","1","43.5","37","28.5","20.5"
"Ozy","31","352.5","0.47","51","2","23","12","60","56.5"
"Truthout","32","150","0.135","15","1","52","54","5.5","20.5"
