comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.13,False,Little to no reporting,Paid in 3 months ,svg-4,Platform: digital,The Guardian,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,blog post,700,2019
,Contract: Yes,$0.60,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Guardian,Referral (you had a connection who connected you to the editor),Rights: All rights,news story,500,2018
"""Terrible experience. Editor assigned story at 31p per word at 800 words. For two entire weeks after I submitted it, it sat un-edited. Suddenly one night she decided to edit it, without notice, and because I didn't respond to her questions within a 45-minute period (during which i was eating dinner), she cut the piece in half and published it, thus I was given only half the pay despite having done all the work. Terrible. I suggest making them promise in writing to pay you per words commissioned--not per words published--to avoid this happening again.""",Contract: ,$0.28,False,,Paid in 3 months ,svg-4,Platform: digital,The Guardian,,Rights: First Serial Rights,,800-word,2018
,Contract: Yes,$1.00,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,The Guardian,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,540,2018
,Contract: Yes,$0.50,False,Little to no reporting,Paid in 15 days ,svg-2,Platform: digital,The Guardian,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
,Contract: No,$0.50,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,The Guardian,Referral (you had a connection who connected you to the editor),Rights: All rights,"opinion, editorial, column or essay",800,2016
"""Editor contacted me with the topic - 600-700 words. """,Contract: ,$0.19,False,Assignment (editor came to you),,ng-hide,Platform: digital,The Guardian,,Rights: ,"opinion, editorial, column or essay",~750,2016
,Contract: No,$0.50,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,The Guardian,Cold pitch (no pre-existing relationship),Rights: All rights,feature,1200,2016
"""Cold pitch to CiF. Rates not discussed in emails with editor. I received an email from their payments guy the next day, and a guardian contributor number followed the day after. 

132$ is the xe rate. I'm English and was paid about £90.""",Contract: No,$0.18,False,Little to no reporting,,ng-hide,Platform: digital,The Guardian,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~750,2015
,"Contract: Verbal or ""handshake"" agreement",$0.50,False,Little to no reporting,,ng-hide,Platform: digital,The Guardian,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2015
"""Editor sought out ideas, asked for more material and a rewrite. General contract specifies 310.68 pounds for 1000 words. Editor balked at paying for more than 900 words worth, although I ultimately got the money.
""",Contract: Yes,$0.39,False,Medium reporting,,ng-hide,Platform: digital,The Guardian,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,~1500,2015
"""1300-word listicle.""",Contract: Yes,$0.33,False,Medium reporting,,ng-hide,Platform: digital,The Guardian,Assignment (editor came to you),Rights: All rights,fob,~1500,2014
,Contract: No,$0.19,False,Little to no reporting,,ng-hide,Platform: digital,The Guardian,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2014
,Contract: Yes,$0.51,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,The Guardian,Solicited pitch (editor asked you to pitch),Rights: All rights,news story,~750,2014
,Contract: ,$300,True,,,ng-hide,Platform: print,The Guardian,,Rights: ,, news story,2013
,Contract: ,$440,True,,,ng-hide,Platform: print,The Guardian,,Rights: ,,,2013
"""310 GBP original payment""",Contract: ,$0.52,False,,,ng-hide,Platform: print,The Guardian,,Rights: ,news story,1000,2013
"""They pay quickly""",Contract: ,$120,True,,,ng-hide,,The Guardian,,Rights: ,,,2012
