comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,"Contract: Verbal or ""handshake"" agreement",$0.30,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Next City,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1000,2018
,Contract: No,$0.33,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Next City,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,900,2018
,Contract: Yes,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Next City,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,800,2017
,Contract: ,$0.48,False,,Paid in 15 days ,svg-1,Platform: digital,Next City,,Rights: First Serial Rights,,2100-word,2017
"""Mails checks.""",Contract: No,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Next City,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,800,2017
,Contract: No,$0.20,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Next City,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1100,2017
"""Payment is via PayPal, and very easy; I've even received payment a few days prior to publication. Edits are light, although they might make revisions you don't see until the piece is published. The editor is a positive, pleasant person to work with.""",Contract: No,$0.17,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Next City,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,1000,2016
,"Contract: Verbal or ""handshake"" agreement",$0.22,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Next City,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,800,2016
"""Pitched a story that was based on some surplus reportage I had for another story. Story was for the Daily Blog, but I hear that the Forefront section pays much more.""",Contract: No,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Next City,Ongoing/pre-existing relationship with editor or publication,Rights: ,news story,~750,2013
,Contract: ,$1500,True,,,ng-hide,,Next City,,Rights: ,, feature,2013
,Contract: ,$0.00,False,,,ng-hide,Platform: digital,Next City,,Rights: ,"opinion, editorial, column or essay",~1500,2012
"""Report of no compensation for ‘guest essays’ on this ‘urban affairs’-focused blog, and no plans to change.""",Contract: ,,,,,ng-hide,,Next City,,Rights: ,,,2012
