comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""I negotiated the rate up to $150 from $100 offered.""",Contract: Yes,$0.11,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,Tablet Magazine,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,feature,1400,2018
"""Was published in The Scroll. Negotiated higher rate than initially offered.""",Contract: No,$0.25,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Tablet Magazine,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1000,2018
,Contract: Yes,$0.17,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Tablet Magazine,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,feature,1600,2018
"""Easy to work with, great edits""",Contract: Yes,$0.27,False,Medium reporting,,ng-hide,Platform: digital,Tablet Magazine,Cold pitch (no pre-existing relationship),Rights: ,profile or interview,~1500,2015
"""Had contract after piece was submitted ""","Contract: Verbal or ""handshake"" agreement",$0.10,False,Medium reporting,,ng-hide,Platform: digital,Tablet Magazine,Referral (you had a connection who connected you to the editor),Rights: All rights,profile or interview,~750,2015
,Contract: Yes,$0.30,False,Little to no reporting,,ng-hide,Platform: digital,Tablet Magazine,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
"""Heavy editing and rewriting, much back and forth with editor""",Contract: Yes,$0.33,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Tablet Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,~3000,2014
,Contract: Yes,$0.33,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Tablet Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,~3000,2014
"""An assignment, not a pitch.""",Contract: ,$0.27,False,,,ng-hide,,Tablet Magazine,,Rights: ,"opinion, editorial, column or essay",1500,2013
,Contract: ,$0.40,False,,,ng-hide,,Tablet Magazine,,Rights: ,feature,1000,2013
