comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.20,False,Heavy/Investigative reporting,Paid in 1 month ,svg-2,Platform: digital,Roads & Kingdoms,,Rights: First Serial Rights,feature,5000,2018
,"Contract: Verbal or ""handshake"" agreement",$0.12,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Roads & Kingdoms,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2500,2018
,Contract: No,$0.05,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,Roads & Kingdoms,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,fob,500,2017
,Contract: No,$0.04,False,Little to no reporting,Paid in 6 weeks ,svg-1,Platform: digital,Roads & Kingdoms,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,600,2017
,Contract: No,$0.08,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Roads & Kingdoms,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1849,2017
,Contract: No,$0.05,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Roads & Kingdoms,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,500,2016
,Contract: No,$0.05,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Roads & Kingdoms,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,fob,500,2016
,Contract: No,$0.15,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Roads & Kingdoms,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1000,2016
,Contract: No,$0.13,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Roads & Kingdoms,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2000,2016
,"Contract: Verbal or ""handshake"" agreement",$0.10,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Roads & Kingdoms,Ongoing/pre-existing relationship with editor or publication,Rights: ,feature,~1500,2015
