comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.01,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,The Tempest,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2019
,Contract: ,$0.01,False,Assignment (editor came to you),Paid in 1 month ,svg-1,Platform: digital,The Tempest,,Rights: First Serial Rights,fob,700,2017
,Contract: Yes,$0.02,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,The Tempest,Assignment (editor came to you),Rights: Other / I don't know,"opinion, editorial, column or essay",600,2017
,Contract: Yes,$0.02,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Tempest,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,"opinion, editorial, column or essay",450,2016
,Contract: ,$0.02,False,,Paid in 1 month ,svg-1,Platform: digital,The Tempest,,Rights: Secondary Rights/Reprint,,500-word,2016
,Contract: ,$0.02,False,,Paid in 1 month ,svg-1,Platform: digital,The Tempest,,Rights: Other / I don't know,,500-word,2016
"""The editors were great to work with. I now write for them regularly.""",Contract: Yes,$0.02,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,The Tempest,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",600,2016
"""$10 flat rate for all pieces.""",Contract: Yes,$0.01,False,Little to no reporting,Paid in 3 months ,svg-4,Platform: digital,The Tempest,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",700,2016
,Contract: ,$0.02,False,,Paid in 1 month ,svg-1,Platform: digital,The Tempest,,Rights: First Serial Rights,,500-word,2016
,Contract: Yes,$0.00,False,Cold pitch (no pre-existing relationship),Paid in 1 month ,svg-1,Platform: digital,The Tempest,,Rights: First Serial Rights,"opinion, editorial, column or essay",600,2016
