comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.06,False,Medium reporting,Paid in 15 days ,svg-1,Platform: print,Are We Europe,Cold pitch (no pre-existing relationship),Rights: All rights,feature,2000,2018
,Contract: Yes,$0.06,False,Medium reporting,Paid in 15 days ,svg-2,Platform: digital,Are We Europe,Cold pitch (no pre-existing relationship),Rights: All rights,feature,2000,2018
,Contract: Yes,$0.03,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Are We Europe,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,feature,4000,2018
,Contract: No,$0.10,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Are We Europe,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,1200,2018
,Contract: ,$0.10,False,,Paid in 6 weeks ,svg-1,Platform: digital,Are We Europe,,Rights: First Serial Rights,,1200-word,2018
,Contract: Yes,$0.05,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Are We Europe,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,2600,2018
,Contract: No,$0.06,False,Little to no reporting,Paid in 15 days ,svg-2,Platform: digital,Are We Europe,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2018
,"Contract: Verbal or ""handshake"" agreement",$0.06,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,Are We Europe,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,profile or interview,2000,2018
,Contract: Yes,$0.16,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Are We Europe,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,700,2018
,Contract: Yes,$0.06,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Are We Europe,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,2000,2018
