comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$1.00,False,,Paid in 6 weeks ,svg-2,Platform: digital,Al-jazeera English,,Rights: All rights,,1000-word,2018
,Contract: ,$0.50,False,,Paid in 6 weeks ,svg-2,Platform: digital,Al-jazeera English,,Rights: First Serial Rights,,1500-word,2018
"""This was an investigative feature that required an unusual amount of work. Company offered just a flat rate for article, photos and travel--that is to say, it didn't' specifically pay for travel costs.""",Contract: ,$0.52,False,,Paid in 6 weeks ,svg-3,Platform: digital,Al-jazeera English,,Rights: First Serial Rights,,2400-word,2018
,"Contract: Verbal or ""handshake"" agreement",$0.42,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-2,Platform: digital,Al-jazeera English,Referral (you had a connection who connected you to the editor),Rights: Secondary Rights/Reprint,feature,1200,2017
,Contract: No,$0.33,False,Heavy/Investigative reporting,Paid in 3 months ,svg-2,Platform: digital,Al-jazeera English,Cold pitch (no pre-existing relationship),Rights: All rights,feature,1500,2017
"""Al-Jazeera has been having issues paying freelancers and interns (I was an intern as well for them).""","Contract: Verbal or ""handshake"" agreement",$0.75,False,Medium reporting,Paid in 2 months ,svg-4,Platform: digital,Al-jazeera English,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,500,2017
"""A feature for the ""in depth"" section. I was payed $500 minus a $15 wire transfer fee.""",Contract: No,$0.40,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-1,Platform: digital,Al-jazeera English,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1200,2017
"""I filed my assignment as requested, but when I asked where to send my invoice, I was just told I will be paid when the article is published - with no indication when this will be. It's been well over a month and no sign of published piece or my money.""",Contract: Yes,$0.33,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Al-jazeera English,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1500,2017
"""Still waiting for payment. Editor said I can send invoice once the article has been published - with no indication as to when this will happen. It's been well over a month already, and I'm still waiting...""",Contract: Yes,$0.10,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Al-jazeera English,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1500,2017
,Contract: No,$0.25,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Al-jazeera English,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,1000,2016
"""Paid $400 day rate as a field producer to film soundbites for news package. The pay is fair but AJE takes forever (90+ days) to pay freelancers, some call it the ""Al-Jazeera Savings Plan."" """,Contract: Yes,$1.07,False,Medium reporting,,ng-hide,Platform: other,Al-jazeera English,Assignment (editor came to you),Rights: All rights,news story,~375,2016
