comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.45,False,Heavy/Investigative reporting,Paid in 2 months ,svg-1,Platform: digital,Vice,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,2200,2019
,Contract: ,$0.23,False,,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Vice,,Rights: All rights,,1000-word,2018
,Contract: No,$0.21,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Vice,Cold pitch (no pre-existing relationship),Rights: All rights,feature,1200,2017
"""Cold-pitched in July. Got a greenlight two months later. Editors were great. As a first-time writer for them, had to send them a bunch of paperwork but that's standard stuff (contract, tax forms, invoice, etc.). From the time of invoice submission to payment, it took about 30-40 days. As a non-US writer, payment was made in US dollars via wire transfer.""",Contract: Yes,$0.13,False,Heavy/Investigative reporting,Paid in 2 months ,svg-3,Platform: digital,Vice,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2400,2017
,Contract: Yes,$0.35,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Vice,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,1000,2017
,Contract: No,$0.30,False,Little to no reporting,Paid in 6 weeks ,svg-3,Platform: digital,Vice,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1000,2017
,Contract: Yes,$0.29,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Vice,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1200,2017
,Contract: No,$0.14,False,Little to no reporting,Paid in 2 months ,svg-3,Platform: digital,Vice,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
"""I usually assume a feature pitch isn't happening if I don't get a response within a couple weeks. But Vice editor responded to my cold pitch two months after I sent it to generic email listed on Vice's website (where they say it might take up to three months to respond).""",Contract: Yes,$0.30,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Vice,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1000,2016
"""The fact that the payment was processed in the UK made it a bit more complicated, but it still took some time to receive payment even after I provided the required banking information. I recommend reading the Columbia Journalism Review's piece on how Vice treats its freelancers before writing for them.""",Contract: No,$0.11,False,Medium reporting,Paid in 3 months ,svg-4,Platform: digital,Vice,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,900,2016
,"Contract: Verbal or ""handshake"" agreement",$0.17,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Vice,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",1000,2016
"""There was definitely room to negotiate. I probably could have gotten a few hundred more, but the subject matter was ultra-time sensitive and I didn't want to miss the window to sell. I think they're used to people saying yes out of excitement that they're going to get published. If you put in hard work, don't be shy to ask for double what they offer (with good reason, especially if you had expenses) - push back will make them respect you more and help you look more legit - a win-win.""","Contract: Verbal or ""handshake"" agreement",$0.27,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Vice,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~1500,2016
,Contract: Yes,$0.62,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: print,Vice,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,feature,6500,2016
""".50 cents a word for Vice print""",Contract: No,$0.47,False,Medium reporting,,ng-hide,Platform: print,Vice,Ongoing/pre-existing relationship with editor or publication,Rights: ,news story,~750,2015
"""This was a food piece for Munchies""","Contract: Verbal or ""handshake"" agreement",$0.20,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Vice,Cold pitch (no pre-existing relationship),Rights: ,profile or interview,~750,2015
"""Vice is very prompt with payments—30 days after invoice, they directly deposit my money (I know the terms from a previous relationship with Motherboard, their tech section).

As has been said before, editing is good. $250, apparently, is their max. rate for anything on the web.  """,Contract: No,$0.08,False,Medium reporting,,ng-hide,Platform: digital,Vice,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,~3000,2014
,Contract: Yes,$0.05,False,Medium reporting,,ng-hide,Platform: digital,Vice,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment converage",~1500,2014
"""Got paid quickly. No contract. Piece involved reporting under fairly risky conditions, and had some photos. """,Contract: No,$0.10,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Vice,Submission/spec (piece was written prior and then submitted for publication),Rights: ,feature,~3000,2014
,"Contract: Verbal or ""handshake"" agreement",$0.17,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Vice,Solicited pitch (editor asked you to pitch),Rights: ,feature,~3000,2014
"""Editor published piece without advance warning (to me, the writer); compensation therefore was only discussed after piece was published. Still haven't received payment more than a month after publication. """,Contract: No,$0.02,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Vice,Submission/spec (piece was written prior and then submitted for publication),Rights: All rights,feature,~5000,2013
,Contract: ,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,Vice,,Rights: ,profile or interview,~1500,2013
"""""thoughtful edits""""",Contract: ,$0.06,False,,,ng-hide,,Vice,,Rights: ,feature,1200,2013
"""“VICE has the hugest sliding scale from writer to writer that I’ve heard of. For the print magazine, word is that it depends how much they want a story.”""",Contract: ,$250,True,,,ng-hide,,Vice,,Rights: ,, feature,2012
,Contract: ,$75,True,,,ng-hide,Platform: digital,Vice,,Rights: ,," criticism, review, or arts/entertainment converage",2012
