publication,year,wordRate,wordCount,flatRate,totalPaid,paymentDifficulty,daysToBePaid,storyType,levelOfReporting,relationship,rights,platform,contract,comment
Teen Vogue,2018,0.3,500.0,False,150.0,2.0,42,News,Light,Cold Pitch,All,Digital,Yes,"""Paid via direct deposit exactly 30 days after invoice was submitted!"""
Teen Vogue,2018,0.11,950.0,False,104.5,2.0,60,,,,Unknown/Other,Digital,,
Teen Vogue,2018,0.31,800.0,False,248.0,2.0,30,News,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Teen Vogue,2017,0.12,817.0,False,98.03999999999999,4.0,Not Yet,Opinion,Light,Cold Pitch,Unknown/Other,Digital,Verbal,
Teen Vogue,2017,0.25,1000.0,False,250.0,3.0,Not Yet,Feature,Light,Cold Pitch,All,Digital,Yes,
Teen Vogue,2017,0.19,800.0,False,152.0,3.0,Not Yet,Feature,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Teen Vogue,2017,0.15,1000.0,False,150.0,2.0,>90,Opinion,Medium,Cold Pitch,First,Digital,Yes,
Teen Vogue,2017,0.15,1300.0,False,195.0,2.0,30,Opinion,Medium,Ongoing,Unknown/Other,Digital,No,
Teen Vogue,2017,0.15,1300.0,False,195.0,2.0,30,Blog,Light,Cold Pitch,Unknown/Other,Digital,No,
Teen Vogue,2017,0.1,1200.0,False,120.0,4.0,90,,Light,Cold Pitch,Unknown/Other,Digital,Yes,
Teen Vogue,2016,0.1,500.0,False,50.0,2.0,42,,,,Unknown/Other,Digital,,
Teen Vogue,2016,0.17,600.0,False,102.00000000000001,3.0,30,Blog,Light,Ongoing,Unknown/Other,Digital,Yes,
Teen Vogue,2016,0.13,400.0,False,52.0,3.0,Not Yet,,Light,Assignment,Unknown/Other,Digital,No,
Teen Vogue,2015,0.1,750.0,False,75.0,,,Opinion,,Ongoing,,Digital,No,""" it took 6 months since publishing [to be paid]

I think my case was rare but I've heard other people who it's taken a long time"""
Talkpoverty,2017,0.3,1000.0,False,300.0,3.0,Not Yet,Opinion,Light,Referral,Unknown/Other,Digital,Verbal,"""Good to work with so far."""
Experience Life,2017,1.0,2500.0,False,2500.0,1.0,42,Feature,Medium,Assignment,All,Digital,Yes,
The Caravan,2017,0.07,5000.0,False,350.00000000000006,5.0,>90,Feature,Heavy,Solicited Pitch,First,Print,Yes,"""Paid at last - after eight months and eighteen hundred emails"""
The Caravan,2017,0.07,4000.0,False,280.0,5.0,Not Yet,,,,First,Print,,
The Caravan,2017,0.07,3500.0,False,245.00000000000003,5.0,Not Yet,Criticism,Medium,Cold Pitch,First,Digital,,
The Caravan,2016,0.1,800.0,False,80.0,5.0,>90,Feature,Heavy,Cold Pitch,Unknown/Other,Digital,No,
Tnooz,2018,0.2,2500.0,False,500.0,3.0,42,,,,All,Digital,,
Particle,2018,0.38,400.0,False,152.0,1.0,30,Feature,Light,Ongoing,All,Digital,Yes,"""(rate is actually in Australian dollars, $200 per piece)"""
Broadly (vice),2018,0.17,1400.0,False,238.00000000000003,1.0,42,Profile,Heavy,Cold Pitch,First,Digital,Yes,"""Editor was WONDERFUL to work with. Really kind in general, and offered really helpful feedback to shape the piece."""
Broadly (vice),2017,0.31,1200.0,False,372.0,1.0,,Feature,Medium,Cold Pitch,All,Digital,No,
Broadly (vice),2017,0.2,1500.0,False,300.0,3.0,Not Yet,,,,Unknown/Other,Digital,,
Broadly (vice),2016,0.2,1500.0,False,300.0,1.0,15,Feature,Medium,Cold Pitch,First,Digital,No,
Broadly (vice),2016,0.2,1500.0,False,300.0,,,Criticism,Medium,Cold Pitch,,Digital,No,"""Great feedback, good editors. Good experience. """
Broadly (vice),2016,0.35,1000.0,False,350.0,2.0,42,News,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Broadly (vice),2016,0.33,1050.0,False,346.5,3.0,Not Yet,Profile,Medium,Cold Pitch,Unknown/Other,Print,No,
Broadly (vice),2016,0.13,1600.0,False,208.0,3.0,42,Feature,Medium,Cold Pitch,First,Digital,Verbal,
Broadly (vice),2015,0.17,3000.0,False,510.00000000000006,,,Feature,Medium,Cold Pitch,All,Digital,Yes,"""I also provided several high-resolution photos to illustrate the piece."""
America Magazine,2018,0.38,2000.0,False,760.0,1.0,15,Feature,Medium,Cold Pitch,Unknown/Other,Digital,No,
America Magazine,2017,0.25,1000.0,False,250.0,1.0,30,News,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
New York Times Motherlode,2017,0.13,750.0,False,97.5,3.0,42,Opinion,Light,Cold Pitch,All,Digital,Yes,
New York Times Motherlode,2016,,750.0,,,,,Opinion,Medium,Ongoing,,Digital,Yes,"""Was asked by Motherlode to interview a NYT reporter re a piece he/she had written, and then give the whole topic a parenting spin."""
Box24 Casino Review,2018,0.05,3500.0,False,175.0,1.0,15,Blog,Medium,Ongoing,All,Digital,Yes,
Box24 Casino Review,2018,0.05,3500.0,False,175.0,1.0,15,Criticism,Medium,Ongoing,All,Digital,Yes,
Mothers Always Write,2018,0.03,1500.0,False,45.0,1.0,15,,,,All,Digital,,
Mothers Always Write,2017,0.02,1047.0,False,20.94,1.0,15,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,"""The editors were lovely to work with and very encouraging and communicative."""
Dig Boston,2018,0.21,717.0,False,150.57,1.0,Not Yet,Profile,Medium,Referral,Unknown/Other,Digital,No,"""It was just published today so it's normal that I haven't gotten payment yet."""
Dig Boston,2018,0.13,2300.0,False,299.0,1.0,15,Feature,Heavy,Ongoing,Unknown/Other,Digital,No,
Popular Science,2017,2.0,500.0,False,1000.0,3.0,90,News,Medium,Ongoing,Unknown/Other,Print,Yes,
Popular Science,2016,0.13,1200.0,False,156.0,4.0,>90,News,Medium,Ongoing,All,Digital,Yes,
Popular Science,2016,2.0,990.0,False,1980.0,4.0,Not Yet,FoB,Medium,Ongoing,Unknown/Other,Print,Yes,
Popular Science,2015,1.6,5000.0,False,8000.0,,,Feature,Medium,Ongoing,First,Print,Yes,
Popular Science,2013,0.35,1000.0,False,350.0,,,News,,,,Digital,,
