comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""Great experience. Will definitely submit more pitches.""",Contract: Yes,$0.08,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1200,2018
,Contract: Yes,$0.08,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Hello Giggles,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1200,2018
,Contract: Yes,$0.08,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1200,2018
,Contract: Yes,$0.05,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Hello Giggles,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,800,2017
,Contract: Yes,$0.06,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,715,2017
,Contract: Yes,$0.06,False,Medium reporting,Paid in 1 month ,svg-4,Platform: digital,Hello Giggles,Assignment (editor came to you),Rights: First Serial Rights,feature,500,2017
,Contract: Yes,$0.04,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2017
,Contract: No,$0.07,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Hello Giggles,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",600,2017
,Contract: No,$0.10,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Hello Giggles,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,250,2017
,Contract: ,$0.05,False,,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,,Rights: First Serial Rights,,800-word,2017
,Contract: ,$0.07,False,,Paid in 1 month ,svg-1,Platform: digital,Hello Giggles,,Rights: Other / I don't know,,615-word,2017
,Contract: Yes,$0.06,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",700,2016
,Contract: No,$0.02,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",1227,2016
,Contract: No,$0.02,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",1657,2016
,Contract: No,$0.02,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",1130,2016
,Contract: No,$0.03,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",813,2016
,Contract: No,$0.02,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",1186,2016
,Contract: ,$0.02,False,,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,,Rights: All rights,,1032-word,2016
"""They pay two times a month via Paypal.""",Contract: Yes,$0.04,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Hello Giggles,Referral (you had a connection who connected you to the editor),Rights: All rights,"opinion, editorial, column or essay",600,2016
,Contract: Yes,$0.02,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,Hello Giggles,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1120,2016
,Contract: Yes,$0.07,False,Medium reporting,,ng-hide,Platform: digital,Hello Giggles,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~375,2015
"""Very timely payment. Was paid within three days of publication via PayPal.""",Contract: Yes,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,Hello Giggles,Ongoing/pre-existing relationship with editor or publication,Rights: ,"opinion, editorial, column or essay",~750,2014
