comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.50,False,,Longer than 3 months ,svg-5,Platform: digital,Outside Online,,Rights: Other / I don't know,,1600-word,2019
,Contract: No,$0.50,False,Heavy/Investigative reporting,Longer than 3 months ,svg-4,Platform: digital,Outside Online,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,800,2018
,Contract: ,$0.50,False,,Longer than 3 months ,svg-4,Platform: digital,Outside Online,,Rights: Other / I don't know,,800-word,2018
"""Had to threaten to sue the publication for refusal to pay; only then did they pay, nearly 6 months late.""",Contract: No,$0.63,False,Heavy/Investigative reporting,Longer than 3 months ,svg-5,Platform: digital,Outside Online,Assignment (editor came to you),Rights: First Serial Rights,feature,4000,2018
,Contract: Yes,$0.65,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Outside Online,Assignment (editor came to you),Rights: First Serial Rights,news story,500,2018
,Contract: Yes,$1.00,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: print,Outside Online,Assignment (editor came to you),Rights: First Serial Rights,fob,400,2018
,Contract: Yes,$0.42,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Outside Online,Assignment (editor came to you),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2018
"""Outside is the very worst of my clients when it comes to payment on time. Pay rates are very good. But you have to hassle them to get paid, and even then six months to a year is common. Everyone I know who writes for them has similar issues.""","Contract: Verbal or ""handshake"" agreement",$0.50,False,Heavy/Investigative reporting,Longer than 3 months ,svg-4,Platform: digital,Outside Online,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,2000,2018
"""Editor was forthright about payment issues, and other colleagues have also mentioned that Outside didn't pay until a year after an assignment was filed.""","Contract: Verbal or ""handshake"" agreement",$1.00,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Outside Online,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,news story,1500,2017
,"Contract: Verbal or ""handshake"" agreement",$0.50,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Outside Online,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,1060,2017
,Contract: ,$0.25,False,,Paid in 15 days ,svg-1,Platform: digital,Outside Online,,Rights: First Serial Rights,feature,4000,2016
,"Contract: Verbal or ""handshake"" agreement",$0.38,False,Heavy/Investigative reporting,Paid in 1 month ,svg-2,Platform: digital,Outside Online,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"opinion, editorial, column or essay",1300,2016
,Contract: No,$0.53,False,Medium reporting,,ng-hide,Platform: digital,Outside Online,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,fob,~375,2014
"""Brief, web-only""",Contract: ,$300,True,,,ng-hide,,Outside Online,,Rights: ,,,2012
