pub,link,madeCSV
100 Days In Appalachia,#/publication/100-days-in-appalachia,1
3288 Review,#/publication/3288-review,1
425 Business,#/publication/425-business,1
435 Magazine,#/publication/435-magazine,1
5280,#/publication/5280,1
7x7,#/publication/7x7,1
A.v. Club,#/publication/av-club,1
A&e Real Crime Blog,#/publication/ae-real-crime-blog,1
Aarp Bulletin,#/publication/aarp-bulletin,1
Aarp En Español (spanish-language Website For Aarp).,#/publication/aarp-en-espaol-spanishlanguage-website-for-aarp,1
Acclaim Magazine,#/publication/acclaim-magazine,1
Acres Usa,#/publication/acres-usa,1
Adbusters,#/publication/adbusters,1
Additude,#/publication/additude,1
Adoption.com,#/publication/adoptioncom,1
Adrain Telegram,#/publication/adrain-telegram,1
Adventure Cyclist Magazine,#/publication/adventure-cyclist-magazine,1
Adventure Kayak,#/publication/adventure-kayak,1
"Advicesister Beauty, Fashion & Lifestyle",#/publication/advicesister-beauty-fashion--lifestyle,1
Adweek,#/publication/adweek,1
Aeon,#/publication/aeon,1
Afar,#/publication/afar,1
Africa Renewal (Un),#/publication/africa-renewal-un,1
Afropunk,#/publication/afropunk,1
Agdaily,#/publication/agdaily,1
Airbnb Mag,#/publication/airbnb-mag,1
Al Jazeera America,#/publication/al-jazeera-america,1
Al Jazeera English,#/publication/al-jazeera-english,1
Al-jazeera English,#/publication/aljazeera-english,1
Alaska Airlines Magazine,#/publication/alaska-airlines-magazine,1
Alive 65,#/publication/alive-65,1
All Black Media,#/publication/all-black-media,1
Allaboutcircuits,#/publication/allaboutcircuits,1
Allure,#/publication/allure,1
Alma,#/publication/alma,1
Almost Fearless,#/publication/almost-fearless,1
Alpinist Magazine,#/publication/alpinist-magazine,1
Alternet,#/publication/alternet,1
Alternet (2nd Rights),#/publication/alternet-2nd-rights,1
Ambassador (National Italian American Foundation),#/publication/ambassador-national-italian-american-foundation,1
America Magazine,#/publication/america-magazine,1
America's Quarterly,#/publication/americas-quarterly,1
American Angler,#/publication/american-angler,1
American Banker,#/publication/american-banker,1
American City & County,#/publication/american-city--county,1
American Educator,#/publication/american-educator,1
American Forests,#/publication/american-forests,1
American Renaissance,#/publication/american-renaissance,1
American Teacher Magazine,#/publication/american-teacher-magazine,1
American Theatre,#/publication/american-theatre,1
American Way,#/publication/american-way,1
Amny,#/publication/amny,1
Amongmen,#/publication/amongmen,1
Animal New York,#/publication/animal-new-york,1
Aol Travel,#/publication/aol-travel,1
April Magazine,#/publication/april-magazine,1
Aps News,#/publication/aps-news,1
Arc Digital,#/publication/arc-digital,1
Archdaily,#/publication/archdaily,1
Archer Magazine,#/publication/archer-magazine,1
Archinect,#/publication/archinect,1
Architect Magazine,#/publication/architect-magazine,1
Architectural Digest,#/publication/architectural-digest,1
Architectural Record,#/publication/architectural-record,1
Are We Europe,#/publication/are-we-europe,1
Arena Music,#/publication/arena-music,1
Argot Magazine,#/publication/argot-magazine,1
Arkansas Life Magazine,#/publication/arkansas-life-magazine,1
Armenian Weekly,#/publication/armenian-weekly,1
Ars Technica,#/publication/ars-technica,1
Art For Ourselves,#/publication/art-for-ourselves,1
Art In America,#/publication/art-in-america,1
Art Jewelry Forum,#/publication/art-jewelry-forum,1
Art Papers,#/publication/art-papers,1
Art Press (france),#/publication/art-press-france,1
Art Review,#/publication/art-review,1
Art21 Magazine,#/publication/art21-magazine,1
Arte Fuse,#/publication/arte-fuse,1
Artforum,#/publication/artforum,1
Artnews,#/publication/artnews,1
Artreview,#/publication/artreview,1
Arts & Letters,#/publication/arts--letters,1
Artslant,#/publication/artslant,1
Artsy,#/publication/artsy,1
Artus,#/publication/artus,1
Asia Times Online,#/publication/asia-times-online,1
Askmen.com,#/publication/askmencom,1
Astronomy Magazine,#/publication/astronomy-magazine,1
Asweatlife,#/publication/asweatlife,1
At Large Magazine,#/publication/at-large-magazine,1
Athenainsight,#/publication/athenainsight,1
Atlanta Blackstar,#/publication/atlanta-blackstar,1
Atlanta Magazine,#/publication/atlanta-magazine,1
Atlantic Books Today,#/publication/atlantic-books-today,1
Atlas Obscura,#/publication/atlas-obscura,1
Audiofile Magazine,#/publication/audiofile-magazine,1
Audubon Magazine,#/publication/audubon-magazine,1
Autostraddle,#/publication/autostraddle,1
Avalon Magazine (canada),#/publication/avalon-magazine-canada,1
Avianca,#/publication/avianca,1
Awesometotallyawesome,#/publication/awesometotallyawesome,1
Awp,#/publication/awp,1
Babble,#/publication/babble,1
Babe,#/publication/babe,1
Baby Chick,#/publication/baby-chick,1
Backchannel,#/publication/backchannel,1
Backpacker Magazine,#/publication/backpacker-magazine,1
