comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.69,False,,Paid in 1 month ,svg-2,Platform: digital,Foreign Policy,,Rights: First Serial Rights,,8000-word,2018
,"Contract: Verbal or ""handshake"" agreement",$0.38,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-1,Platform: digital,Foreign Policy,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,1800,2017
,"Contract: Verbal or ""handshake"" agreement",$0.38,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-1,Platform: digital,Foreign Policy,Cold pitch (no pre-existing relationship),Rights: All rights,news story,800,2017
,Contract: No,$0.37,False,,Paid in 2 months ,svg-1,Platform: digital,Foreign Policy,,Rights: First Serial Rights,feature,566,2016
,Contract: ,$1.00,False,,Paid in 3 months ,svg-4,Platform: print,Foreign Policy,,Rights: First Serial Rights,,2000-word,2016
,Contract: Yes,$0.20,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Foreign Policy,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1500,2016
"""Magazine pays $250 for online content -- whether its off-the-cuff opinion or heavily reported enterprise or front-line news on tight deadline. At least one editor has been known to deny payment to a young writer after story ran. They'll admit they're slow to pay -- can take two months -- and can take some haranguing. """,Contract: No,$0.17,False,Medium reporting,,ng-hide,Platform: digital,Foreign Policy,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,~1500,2015
,Contract: No,$0.17,False,Medium reporting,,ng-hide,Platform: digital,Foreign Policy,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,~1500,2014
"""Took two months, a few emails and one polite phone call to finance department to get paid. ""","Contract: Verbal or ""handshake"" agreement",$0.17,False,Medium reporting,,ng-hide,Platform: digital,Foreign Policy,Solicited pitch (editor asked you to pitch),Rights: All rights,news story,~1500,2014
,Contract: ,$0.20,False,,,ng-hide,,Foreign Policy,,Rights: ,feature,1000,2013
"""$250 flat rate for reported dispatches. “Payment can take up to three months.”""",Contract: ,$0.18,False,,,ng-hide,,Foreign Policy,,Rights: ,,~1400-word,2013
