comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""Editor and I mutually followed each other on Twitter, and after establishing relationship, I cold-pitched and was accepted. My piece was first person LGBT focused. As of 2017, it is harder to get accepted pitches—quote from the editor I originally worked with.""","Contract: Verbal or ""handshake"" agreement",$0.04,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Bustle,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1200,2018
"""Editors are kind and thoughtful. Super easy and fast pay.""",Contract: Yes,$0.35,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Bustle,Solicited pitch (editor asked you to pitch),Rights: All rights,feature,2000,2018
,Contract: Yes,$0.11,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Bustle,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",900,2018
,Contract: No,$0.00,False,Little to no reporting,N/A ,svg-false,Platform: digital,Bustle,Other,Rights: Other / I don't know,news story,200,2018
,Contract: Yes,$0.10,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Bustle,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,fob,1000,2017
,Contract: Yes,$0.27,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Bustle,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1500,2017
,Contract: ,$0.07,False,,Paid in 15 days ,svg-1,Platform: digital,Bustle,,Rights: All rights,,700-word,2016
,Contract: ,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,Bustle,Ongoing/pre-existing relationship with editor or publication,Rights: ,"opinion, editorial, column or essay",~1500,2016
"""Spent 10 days calling from Germany to California at my own personal expense, doing this in the evening my time after my day job, and was only offered $100.""","Contract: Verbal or ""handshake"" agreement",$0.07,False,Medium reporting,,ng-hide,Platform: digital,Bustle,Ongoing/pre-existing relationship with editor or publication,Rights: ,news story,~1500,2016
,Contract: Yes,$0.03,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Bustle,Submission/spec (piece was written prior and then submitted for publication),Rights: All rights,feature,2000,2016
"""Email directly from the Managing Editor: ""Reviewers work directly with our Books Editor, who assigns books every month that she receives from publishing houses (she'd send them to you). We expect one review per week, and ideally, you'd be available to write up any books news one day per week for a few hours in the form of a short blog post. Pay is $40/week.""""",Contract: No,$0.05,False,Little to no reporting,,ng-hide,Platform: digital,Bustle,Solicited pitch (editor asked you to pitch),Rights: All rights,news story,~750,2014
"""I write in Bustle's television department. Saw the job listing a few months ago and just applied, no prior relationship with the website. In the department, you're hired to write at least 5 articles a week for only $20 per article. No reviews. Writing about theories, spoilers, coming up with fresh angles for very popular tv shows. Editors are great, pay is abysmal considering how much work goes into the writing. Promptly get paid every two weeks via direct deposit. """,Contract: Yes,$0.03,False,Medium reporting,,ng-hide,Platform: digital,Bustle,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~750,2014
