comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.25,False,Little to no reporting,Longer than 3 months ,svg-2,Platform: print,Bitch,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2018
,Contract: No,$0.13,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Bitch,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1000,2018
,Contract: Yes,$0.13,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Bitch,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1200,2018
,Contract: Yes,$0.07,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,Bitch,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1500,2017
,Contract: Yes,$0.48,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: print,Bitch,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,2500,2017
,Contract: Yes,$0.10,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Bitch,Cold pitch (no pre-existing relationship),Rights: All rights,feature,1200,2017
"""Was very easy working with their team. Editing process for transparent and engaging.""",Contract: Yes,$0.07,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Bitch,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment coverage",1500,2017
,Contract: Yes,$0.06,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Bitch,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment coverage",1276,2017
"""Lots of waiting to hear back, followed by tight deadlines. Found out after submitting first draft that the assigning editor had left publication. Piece was not published after significant reporting went into it, and apparently I'll be getting a 20% kill fee. Very frustrating overall.""",Contract: Yes,$0.04,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: print,Bitch,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2800,2017
,Contract: Yes,$0.08,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Bitch,Solicited pitch (editor asked you to pitch),Rights: All rights,"criticism, review, or arts/entertainment coverage",1200,2017
,Contract: Yes,$0.13,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: print,Bitch,,Rights: All rights,"criticism, review, or arts/entertainment coverage",1500,2017
,Contract: ,$0.10,False,,Paid in 15 days ,svg-1,Platform: print,Bitch,,Rights: All rights,,500-word,2017
,Contract: No,$0.11,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: print,Bitch,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",350,2016
"""Poor and inconsistent communication throughout, even down to the terms of the assignment. In the end, got paid less than what was agreed, but very promptly.""","Contract: Verbal or ""handshake"" agreement",$0.04,False,Little to no reporting,Paid in 15 days ,svg-5,Platform: digital,Bitch,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1100,2016
,Contract: No,$0.04,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Bitch,Assignment (editor came to you),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1139,2016
,Contract: ,$0.01,False,,Paid in 1 month ,svg-3,Platform: digital,Bitch,,Rights: Secondary Rights/Reprint,,1500-word,2016
"""While the rate isn't incredible, I would highly recommend pitching Bitch to any who wishes to. The editor was incredibly responsive and fun to work with, and I received payment 2 DAYS (!!!) after it was published.""",Contract: No,$0.03,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Bitch,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,profile or interview,1500,2016
,Contract: ,$0.05,False,,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Bitch,,Rights: First Serial Rights,,1500-word,2016
