comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""Paid via direct deposit exactly 30 days after invoice was submitted!""",Contract: Yes,$0.30,False,Little to no reporting,Paid in 6 weeks ,svg-2,Platform: digital,Teen Vogue,Cold pitch (no pre-existing relationship),Rights: All rights,news story,500,2018
,Contract: ,$0.11,False,,Paid in 2 months ,svg-2,Platform: digital,Teen Vogue,,Rights: Other / I don't know,,950-word,2018
,Contract: Yes,$0.31,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Teen Vogue,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,800,2018
,"Contract: Verbal or ""handshake"" agreement",$0.12,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Teen Vogue,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",817,2017
,Contract: Yes,$0.25,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Teen Vogue,Cold pitch (no pre-existing relationship),Rights: All rights,feature,1000,2017
,Contract: Yes,$0.19,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Teen Vogue,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,800,2017
,Contract: Yes,$0.15,False,Medium reporting,Longer than 3 months ,svg-2,Platform: digital,Teen Vogue,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2017
,Contract: No,$0.15,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Teen Vogue,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1300,2017
,Contract: No,$0.15,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,Teen Vogue,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,1300,2017
,Contract: Yes,$0.10,False,Little to no reporting,Paid in 3 months ,svg-4,Platform: digital,Teen Vogue,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,other,1200,2017
,Contract: ,$0.10,False,,Paid in 6 weeks ,svg-2,Platform: digital,Teen Vogue,,Rights: Other / I don't know,,500-word,2016
,Contract: Yes,$0.17,False,Little to no reporting,Paid in 1 month ,svg-3,Platform: digital,Teen Vogue,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,600,2016
,Contract: No,$0.13,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Teen Vogue,Assignment (editor came to you),Rights: Other / I don't know,other,400,2016
""" it took 6 months since publishing [to be paid]

I think my case was rare but I've heard other people who it's taken a long time""",Contract: No,$0.10,False,Ongoing/pre-existing relationship with editor or publication,,ng-hide,Platform: digital,Teen Vogue,,Rights: ,"opinion, editorial, column or essay",~750,2015
"""Good to work with so far.""","Contract: Verbal or ""handshake"" agreement",$0.30,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Talkpoverty,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
,Contract: Yes,$1.00,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Experience Life,Assignment (editor came to you),Rights: All rights,feature,2500,2017
"""Paid at last - after eight months and eighteen hundred emails""",Contract: Yes,$0.07,False,Heavy/Investigative reporting,Longer than 3 months ,svg-5,Platform: print,The Caravan,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,5000,2017
,Contract: ,$0.07,False,Other,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: print,The Caravan,,Rights: First Serial Rights,,4000-word,2017
