comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$2.00,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Medium,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,2500,2018
,Contract: Yes,$2.06,False,Medium reporting,Paid in 2 months ,svg-1,Platform: digital,Medium,Assignment (editor came to you),Rights: Other / I don't know,feature,3500,2018
,Contract: Yes,$0.87,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Medium,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2300,2018
,Contract: Yes,$1.00,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Medium,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,2000,2018
,Contract: Yes,$0.40,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Medium,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2018
,Contract: Yes,$0.25,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Medium,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,blog post,1000,2017
,Contract: Yes,$0.25,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Medium,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",4000,2017
"""This piece was contracted at a flat rate based on an agreed 1200 words at $0.40 per word. Payment was quick and fairly simple, despite some initial confusion signing up for their payment processor's website as a non-USian.""",Contract: Yes,$0.32,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Medium,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1513,2017
"""This was for The Development Set""",Contract: Yes,$0.35,False,Medium reporting,Paid in 2 months ,svg-1,Platform: digital,Medium,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",2000,2016
"""Contract said payment would be remitted within 30 days of publication. Followed up on the 44th day (2 weeks late) and editor apologized. The check arrived two days later.""",Contract: Yes,$0.33,False,Little to no reporting,,ng-hide,Platform: digital,Medium,Assignment (editor came to you),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2015
"""this was in my account 30 days after it ran online. exactly 30 days. """,Contract: Yes,$0.24,False,Little to no reporting,,ng-hide,Platform: digital,Medium,Other,Rights: Secondary Rights/Reprint,"opinion, editorial, column or essay",~5000,2014
,Contract: Yes,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,Medium,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
